V2Codes,Description
Xa3EW,Acute myeloblastic leukaemia - undifferentiated
Xa3HG,Acute myelomonocytic leukaemia - eosinophilic variant
Xa8Jb,T-cell lymphoma
Xa99k,Malignant lymphoma
Xa99l,Malignant lymphoma - small lymphocytic
Xa99n,Diffuse malignant lymphoma - centroblastic
Xa99w,"Nodular malignant lymphoma, lymphocytic - well differentiated"
Xa99z,"Nodular malignant lymphoma, lymphocytic - intermediate differentiation"
Xa9AA,Plasmacytoma - disorder
Xa9AM,Acute leukaemia
Xa9AN,Subacute leukaemia
Xa9AO,Chronic leukaemia
Xa9AP,Aleukaemic leukaemia
Xa9EH,"Malignant lymphoma, convoluted cell type"
Xa9FC,"Malignant lymphoma, follicular centre cell"
Xa9FD,"Malignant lymphoma, follicular centre cell, cleaved"
Xa9FE,"Malignant lymphoma, follicular centre cell, non-cleaved"
Xaa1N,Clinical stage A chronic lymphocytic leukaemia
Xaa1O,Clinical stage B chronic lymphocytic leukaemia
Xaa1P,Clinical stage C chronic lymphocytic leukaemia
XaB47,Atypical hairy cell leukaemia
XaBAk,Malignant mastocytosis
XaBAl,Erythroleukaemia
XaBAm,Basophilic leukaemia
XaBB3,Plasma cell leukaemia
XaBBb,"Hodgkin's disease, lymphocytic depletion, reticular type"
XaBBC,Neutrophilic leukaemia
XaBBc,"Hodgkin's disease, nodular sclerosis - cellular phase"
XaBBd,"Malignant lymphoma, mixed lymphocytic-histiocytic, nodular"
XaBBf,"Malignant lymphoma, centroblastic-centrocytic, follicular"
XaBBM,Prolymphocytic lymphosarcoma
XaBBN,Malignant lymphoma - lymphoplasmacytic
XaBBO,Diffuse malignant lymphoma - centroblastic-centrocytic
XaBBo,"Malignant lymphoma, lymphocytic, poorly differentiated, nodular"
XaBBP,Malignant lymphoma - centrocytic
XaBBp,"Malignant lymphoma, centroblastic type, follicular"
XaBBt,Myelosclerosis with myeloid metaplasia
XaBBZ,"Hodgkin's disease, lymphocytic depletion, diffuse fibrosis"
XaBLw,Follicular non-Hodgkin's lymphoma
XaBLx,Plasmacytoma NOS
XaELI,Lambda light chain myeloma
XaF1E,Leukaemic infiltrate of choroid
XaF26,Leukaemic infiltrate of retina
XaPQD,Mantle cell lymphoma
XaYdL,Juvenile myelomonocytic leukaemia
XaYgm,Primary mediastinal (thymic) large B-cell lymphoma
XaYi5,Diffuse follicle centre lymphoma
XaYii,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue
XaYiI,Anaplastic lymphoma kinase negative anaplastic large cell lymphoma
XaYij,Follicular lymphoma grade 1
XaYiK,Myelodysplastic and myeloproliferative disease
XaYiL,Anaplastic lymphoma kinase positive anaplastic large cell lymphoma
XaYil,Follicular lymphoma grade 3a
XaYim,Follicular lymphoma grade 3b
XaYin,Cutaneous follicle centre lymphoma
XaYiN,Hepatosplenic T-cell lymphoma
XaYis,"Atypical chronic myeloid leukaemia, BCR/ABL negative"
XaYj0,"Chronic myelogenous leukaemia, BCR/ABL positive"
XaYj4,Acute myeloid leukaemia with myelodysplasia-related changes
XaYj9,Acute myeloid leukaemia with 11q23 abnormality
XaYje,"Extranodal natural killer/T-cell lymphoma, nasal type"
XaYjf,Subcutaneous panniculitic T-cell lymphoma
XaYjI,Primary cutaneous CD30 antigen positive large T-cell lymphoma
XaZdD,Follicular lymphoma grade 3
XaZdF,Follicular lymphoma grade 2
XaZdn,Diffuse large B-cell lymphoma
XaZfR,Adult T-cell leukaemia/lymphoma
XE1vp,Nodular lymphoma
XE1vr,Chronic erythraemia
XE20N,Multiple myeloma etc.
XE20T,Leukaemia - specif. cell NOS
XE2bV,Malignant lymphoma - immunoblastic
XE2t9,"[X]Non-Hodgkin's lymphoma, unspecified type"
XE2vi,Acute erythraemia and erythroleukaemia
XM1FM,"Malignant lymphoma - lymphocytic, intermediate differentiation"
B6002,Reticulosarcoma of intrathoracic lymph nodes
B6004,Reticulosarcoma of lymph nodes of axilla and upper limb
B6005,Reticulosarcoma of lymph nodes of inguinal region and lower limb
B6006,Reticulosarcoma of intrapelvic lymph nodes
B6008,Reticulosarcoma of lymph nodes of multiple sites
Xa0Se,Refractory anaemia with ringed sideroblasts
Xa0Sf,Refractory anaemia with excess blasts
Xa0Sg,Refractory anaemia with excess blasts in transformation
Xa0Sh,5Q minus syndrome
Xa0SI,Plasma cell disorder
XaYv2,Refractory anaemia with multilineage dysplasia
